AGCO,Valtra Oy Ab
AIM:SXX),York Potash Ltd
AIRBUS GROUP,Sodern
ALC Group of Companies (Aliw Broadcasting Corporation),Nine Media Corporation
ALROSA,Severalmaz
AMAG Pharmaceuticals,Cord Blood Registry
AMC Networks International(AMC Networks),MGM Networks Inc.
AMC Networks,AMC Networks International
AMERCO,U-Haul
AMETEK Inc.,Land Instruments International
AMF,Voit
AMG Group,Vango
AMP Limited,AMP Capital
AMT Group,Allphones
AMW Cuyuna Engine Company,2si
ANGR Holdings,Soul Daddy
ANTA International (BVI),Anta Sports Products Limited
ANZ Group,ANZ Fiji
AOL (after 1994),Insitu Inc.
AOL,Netscape Communications
AOL,Weblogs Inc.
AOL,eShop
APCOA Parking,EuroPark AS
APN News & Media,Australian Radio Network
AQ Interactive,Artoon Co.,Ltd
AQ Interactive,Cavia Inc.
AQ Interactive,feelplus Inc.
ARC Ratings Holdings PTE,ARC Ratings,SA
ARCO,Anaconda Copper Mining Company (ACM)
ARGO SpA,Landini SpA
ARGO SpA,Valpadana
ARM Holdings,ARM Norway
AS Watson,Watson's Wine
ASEA,AS Elektrisk Bureau
ASICS,Onitsuka Tiger
ASSA ABLOY,HID Global
ASSA ABLOY,Mul-T-Lock
AT&T Corporation,AT&T Laboratories Inc.
AT&T Inc.,AT&T U-verse
AT&T Inc.,Aio Wireless LLC
AT&T International(AT&T Inc.),AT&T Mexico
AT&T Mexico,Unefon
AT&T Mobility,Ameritech Mobile Communications LLC|
AT&T Mobility,Houston Cellular Telephone Company,L.P.
AT&T Technologies,VTech Innovation,L.P.
AT&T,AT&T Mobility LLC
AT&T,Cricket Wireless LLC
AT&T,DirecTV Now
AT&T,Plymouth Drake
AT&T,Wisconsin Bell Inc.
ATIC,GLOBALFOUNDRIES Inc.
ATP Challenger Tour,Flexiant Ltd.
ATS Group,FusionNet Business Profile
ATX Brands,Bikinis Sports Bar & Grill
AUA Private Equity,VStar Entertainment Group
AVCO,Textron,Lycoming Engines
AVIC Aircraft,AVIC Xi'an Aircraft Industry (Group) Company Ltd.
AVIC Automobile Industry Holding,Pacific Century Motors
AWG,Anglian Water Services Ltd
AXA Group,AXA UK plc
AXA PPP healthcare,AXA PPP International
AXA,AXA Canada
AZP Group,Arizona Public Service
AarhusKarlshamn UK Ltd.,Pei Partnership Architects LLP
Aashirvad Cinemas,Maxlab Cinemas and Entertainments (P) Ltd.
AbbVie,Pharmacyclics LLC
Abbott Laboratories,STARLIMS Corporation
Abengoa,Abengoa Solar
Aberdeen Asset Management,Scottish Widows Investment Partnership (SWIP)
Abertis,A4 Holding
Able C&C Co.,Ltd.,Missha
Aboitiz Power Corporation,Davao Light and Power Company Inc.
Abu Dhabi Investment Council,Abu Dhabi National Insurance Company PSC
Abundance International Inc. - (501c3),Humanitarian Defense Inc
Acadia Healthcare,Mirror Lake Recovery Center
Acadian Companies,Acadian Ambulance Service Inc.
Accel Transmatic Limited,Accel Animation Studios
Accel-KKR,Episerver
Accenture,Avanade
Accessory Fulfillment Center LLC,Cell Phone Signal Booster
Accessory Fulfillment Center LLC,SignalBooster.com
Acciona Trasmediterránea,FerriMaroc
Acclaim Entertainment,Flying Edge
Acclaim Entertainment,Iguana Entertainment/Acclaim Studios Austin
Acclaim Entertainment,Optimus Software/Iguana Entertainment UK/Acclaim Studios Teesside
Acclaim Entertainment,Probe Software/Acclaim Cheltenham
AccorHotels,Mercure
AccorHotels,Novotel
Accudyne Industries,Sullair,L.L.C.
Acer Inc.,Gateway Inc.
Acer Inc.,Packard Bell B.V.
Acer Studios,Acer Records
Acme Group,Acme Mills Company and Textile Industries Inc.
Acme Paper & Supply Co.,ReStockIt
Acorn Media Group,Robin Hood Productions
AcornMedia( Magpie Group), Acorn Productions
Actavis,Warner Chilcott
Actian,Pervasive Software Inc.
Acticall Sitel Group,Sitel
Activision Blizzard,Activision Blizzard Studios
Activision Blizzard,Activision Publishing Inc.
Activision Blizzard,Blizzard Entertainment Inc.
Activision Blizzard,King Digital Entertainment plc
Activision,Beenox
Activision,Bizarre Creations
Activision,Demonware Inc.
Activision,Fun Labs
Activision,Gray Matter Interactive
Activision,High Moon Studios
Activision,Infinity Ward Inc.
Activision,Neversoft Entertainment
Activision,Raven Software
Activision,Shaba Games
Activision,Sledgehammer Games Inc.
Activision,Toys for Bob
Activision,Treyarch
Activision,Vicarious Visions Inc.
Acxsys,Interac e-Transfer
Adam Opel AG,General Motors UK Limited(trading as Vauxhall Motors)
Adam Opel AG,Opel Eisenach GmbH
Adani Enterprises Limited,Adani Ports & Special Economic Zone Limited
Adani Enterprises Limited,Adani Power Limited
Adecco Group North America,Soliant Health
Adecco Group,Adecco General Staffing,Australia
Adecco Group,Adecco General Staffing,New Zealand
Adecco Group,Beeline
Adeptus Health,First Choice Emergency Room
Adidas,Adidas Originals
Adidas,Arena
Adidas,CCM Hockey
Adidas,Reebok International
Adidas,Salomon Group
Aditya Birla Group and Sun Life Financial Inc.,Birla Sun Life Insurance Company Limited
Aditya Birla Group,Grasim Industries Limited
Aditya Birla Group,Hindalco Industries Ltd
Aditya Birla Group,Pantaloons Fashion & Retail Ltd.
Admiral Group, Admiral)
Admiral Group, elephant.co.uk)
Admiral Group,Confused.com
Adobe Systems,Adobe Scene7
Adobe Systems,Entergy
Adobe Systems,Fotolia by Adobe
Adobe Systems,Mixamo Inc.
Advance Auto Parts,Carquest Auto Parts
Advance Local,Advance Digital
Advance Publications,Booth Newspapers
Advance Publications,Bright House Networks LLC
Advance Publications,Condé Nast
Advanced Micro Devices,SeaMicro Inc.
Advantest Corporation,Verigy Ltd
Advent International,International Meal Company Holdings S.A.
Adventz Group,Mangalore Chemicals & Fertilizers Limited
Aegon,Transamerica Corporation
Aekyung Group (),AK PLAZA
AerCap,International Lease Finance Corporation (ILFC)
AerSale Holdings Inc.,AerSale Inc.
Aerial Surveillance LLC,The Butterfly LLC
Aero Commander,Intermountain Manufacturing Company
Aerodyne International Group,Aerodyne Technologies
Aerojet Rocketdyne Holdings,Aerojet Rocketdyne
Aeromere (formerly Aero-Caproni),Aeromere
Aeronautic Supply Co,Benoist Aircraft Company
Aerosport International,Pilots Right Stuff
Affinity Equity Partners,Ticketek Pty Ltd
Afreen Group,InstaPhone
Africa Israel Investments,Danya Cebus
Agapes Restauration (Association familiale Mulliez),Flunch
Agrofert,Mafra,a.s.
Agrokor (majority owner),Mercator d.d.
Agrokor,Konzum d.d.
Agropur,Natrel
Ahold Delhaize,Giant Food Stores LLC|
Ahold Delhaize,Peapod
Ahold Delhaize,The Stop & Shop Supermarket Company|
Ai Squared,sitecues
Aikenhead Hardware Company 1893-1901 Molsons 1971-1994,Aikenhead's Hardware
Air Greenland,Royal Arctic Line,Arctic Umiaq Line
Airbus Group,Airbus Defence and Space
Airbus Group,Airbus SAS
Airbus Group,BAE Systems,Alenia Aeronautica,Panavia Aircraft GmbH
Airbus Group,Stelia Aerospace
Akamai Technologies,Prolexic Technologies,now part of Akamai
Aker Solutions,Aker Verdal AS
Akershus County Municipality,Akershus Energi AS
Al Baraka Banking Group,Al Baraka Bank (Pakistan) Limited
Al Baraka Banking Group,Albaraka Türk Katılım Bankası A.Ş.
Al Futtaim Group,Kolber Geneve
Al Habtoor Group,Al Habtoor Motors L.L.C.
Al Jazeera Media Network,beIN Media Group
Al Tayyar Group,Clarity Travel Management
Al Yousuf LLC,Phoenix Motorcars
Al-Futtaim Group,Progressive Auto Industries
Alabbarenterprises,SIVVI.COM
Alaska Riverways Inc.,Riverboat Discovery
Albertsons (since 2015),The Vons Companies Inc.
Albertsons,Acme Markets
Albertsons,Casa Ley,S.A. de C.V.
Albertsons,Jewel-Osco
Albertsons,Osco Drug
Albertsons,Shaw's and Star Market
Albertsons,Super Saver Foods Inc.
Albertsons,The United Family
Alcoa,Howmet Castings
Aldersgate Ltd,Bahamas,Northern Racing
Aldi / Medion,Aldi Talk
Alenia,part of Finmeccanica,Quadrics Ltd.
Alert Logic,Achilles Guard Inc.
Alexander Industries,Alexander Aircraft Company
Alfa,Katrina Adams
Alfa,Sigma Alimentos,S.A. de C.V.
Algeco Scotsman,Target Logistics Management LLC
Alibaba Group,Alibaba Pictures
Alibaba,Ant Financial Services Group
Alimentation Couche-Tard,Circle K Stores Inc.
Alimentation Couche-Tard,Mac's Convenience Stores Inc.
Alimentation Couche-Tard,Statoil Fuel & Retail
Alimentation Couche-Tard,Tiendas Extra,S.A. de C.V.
Alimentation Couche-Tard,Wörthsee
All Leisure Holidays Group,Swan Hellenic
All Value Holdings Inc.,All Day Convenience Store
All3Media,Company Pictures
All3Media,Lime Pictures (Mersey Television)
All3Media,Maverick Television
All3Media,North One Television
All3Media,Objective Media Group
All3Media,Studio Lambert
Allegiance Retail Services,Pathmark
Allegro Multimedia,inc,Music Wizard Group
Allergan plc,Aptalis
Alliance Data,Conversant
Alliance Data,LoyaltyOne
Alliance Entertainment,Castle Communications PLC
Alliance Global Group Inc.),Megaworld Lifestyle Malls
Alliance Global Group,Megaworld Corporation
Allianz,Allianz Life
Allianz,Assurances Générales de France
Allianz,Euler Hermes
Allianz,Fireman's Fund Insurance Company
Allianz,Petplan Pet Insurance - North America
Allied Artists International,Monogram Pictures
Allied Business Schools Inc.,Allied American University
Allied Properties (H.K.) Limited,Sun Hung Kai & Co. Limited
Allied Specialty Vehicles,Champion Bus
Allied Specialty Vehicles,Collins Industries
Allied Specialty Vehicles,E-One (Emergency One Incorporated)
Allied Specialty Vehicles,ElDorado National
Allied Specialty Vehicles,Fleetwood RV
Allied Specialty Vehicles,Goshen Coach
Allied Specialty Vehicles,Holiday Rambler
Allied Specialty Vehicles,Monaco Coach
Allied Stores,Harzfeld's
Allstate,Encompass Insurance Company
Alltech Group,Siberian Anthracite
Ally Financial,TradeKing
Almac Reinforced Plastics Ltd,Almac
Almacenes Exito,Carulla
Alorica,Precision Response Corporation
Alpargatas S.A.,Alpargatas S.A.I.C.
Alpargatas,Topper
Alpha Bank,Alpha Bank Srbija
Alphabet Inc.,Anvato Inc.
Alphabet Inc.,CapitalG
Alphabet Inc.,Dropcam Inc.
Alphabet Inc.,Google Inc.
Alphabet Inc.,Nest Labs
Alphabet Inc.,Sidewalk Labs
Alphabet Inc.,Verily
Alphabet Inc.,Waymo LLC
Altamont Capital Partners,Dakine
Altice USA,Suddenlink Communications
Altice,Altice USA
Alticor,Amway
Alticor,Amway North America
Altor Equity Partners,Constructor Group AS
Altria Group,Philip Morris USA
Aluminum Corporation of China (Chinalco),China Aluminum International Engineering Co.,Ltd.
Amalgamated Holdings Limited,Rydges Hotels & Resorts
Amalgamations Group,Amco Batteries Limited
Amalgamations Group,Higginbotham's
Amalgamations Group,TAFE - Tractors and Farm Equipment Limited
Amaya Inc.,Cryptologic Limited
Amaya Inc.,Full Tilt Poker
Amaya Inc.,PokerStars Inc.
Amazon Web Services,Elemental Technologies Inc.
Amazon.com,A9.com Inc.
Amazon.com,Amazon Lab126 Inc.
Amazon.com Inc.,Amazon Video
Amazon.com,Lovefilm International Ltd.
Amazon.com,Mobipocket.com
Amazon.com,Reflexive Entertainment
Amazon.com,Shelfari
Amazon.com,Woot Inc.
Amblin Partners,DreamWorks Television
Amcena,Steinbach
Amdocs,OpenMarket Inc.
Amer Sports,Atomic Austria GmbH
Amer Sports,Suunto
Amer Sports,Volant
America First Eureka Holdings,EurekaBank
America Móvil,Page Plus Cellular
American Airlines,Robertson Aircraft Corporation
American Bell,Verizon New York Inc.
American Bell,Verizon Pennsylvania LLC
American Blue Ribbon Holdings LLC,Bakers Square
American Brands Inc.,American Tobacco Company
American Broadcasting Companies Inc.,ABC Motion Pictures
American Broadcasting Companies Inc.,ABC Pictures International Inc.
American Broadcasting Companies Inc.,Palomar Pictures International
American Broadcasting Companies Inc.,Selmur Productions Inc.
American Driveline Systems Inc.,AAMCO Transmissions Franchise
American Driveline Systems Inc.,Cottman Transmission and Total Auto Care
American Eagle Outfitters Inc.,Martin + Osa
American Export Industries,American Export-Isbrandtsen Lines
American Express Global Business Travel,KDS
American Express,Plenti
American Fur Company,Pacific Fur Company
American Home Realty Network,NeighborCity
American Military Arms Corp,Iver Johnson
American Motors (AMC),Wheel Horse Company
American Outdoor Brands Corporation,Crimson Trace Corporation
American Outdoor Brands Corporation,Smith & Wesson
American States Water Company,Bear Valley Electric
American Stores,Alpha Beta
Ameriprise Financial,J. & W. Seligman & Co.
Amore Pacific,Etude House
Amore Pacific,Innisfree
Amore Pacific,Laneige
Amore Pacific,Mamonde
Amoskeag Company,Pillowtex Corporation
Amscan Inc.,Party City
Amundi,Pioneer Investments
América Móvil,Carso Global Telecom,S.A.B. de C.V.
América Móvil,Claro Colombia
América Móvil,Claro El Salvador
América Móvil,Claro Puerto Rico
América Móvil,Claro hdtv
América Móvil,Radio Movil Dipsa SA de CV
América Móvil,Teléfonos de México,S.A.B. de C.V.
Analog Devices,Linear Technology Corporation
Ancestry.com Inc.,iArchives Inc.
Angel Industries Co. Ltd,Gemeinhardt Musical Instruments LLC
Angelo,Gordon & Co.,Adrenaline Family Entertainment Inc.
Anglo American plc,Vergelegen
Anglo American,Tarmac Group Limited
Anheuser-Busch InBev SA/NV,Bavaria Brewery
Anheuser-Busch InBev SA/NV,Foster's Group Limited
Anheuser-Busch InBev SA/NV,The South African Breweries Limited
Anheuser-Busch InBev,Ambev S/A
Anheuser-Busch InBev,Grupo Modelo S.A.B. de C.V.
Anheuser-Busch InBev,Labatt Brewing Companies,Ltd.
AnheuserBusch InBev,Dommelsch Brewery (Dommelsche Bierbrouwerij)
AnheuserBusch InBev,Piedboeuf Brewery
Anil Dhirubhai Ambani Group,Mark R. Hamilton
Animate,Libre Publishing
Aniplex(Sony Music Entertainment Japan),Aniplex of America Inc.
Anshan Iron and Steel Group,Angang Steel Company Limited
AntiGravity Inc,AntiGravity Fitness
Antin IP,Roadchef Motorways Ltd
Anuj Rani LLC.,Rani Spas
Anuman,Microïds
Aparna Enterprises Limited,Aparna Venster
Aparna Group of Companies,Bisk Farm
Apax Partners,Boats Group LLC
Apeejay Surrendra Group,The Park Hotels
Apollo Global Management,Novitex Enterprise Solutions Inc.
Apollo Global Management,Redbox Automated Retail LLC
Apollo Global Management,Tranquilidade,Compania Seguros SA
Apollo Hospital,Indraprastha Apollo Hospital
Appia Investments,Welcome Break
Apple Inc.,Anobit Technologies,Ltd.
Apple Inc.,Apple Store
Apple Inc.,AuthenTec Inc.
Apple Inc.,Braeburn Capital Inc.
Apple Inc.,FileMaker
Apple Leisure Group,AMResorts LLC
Apple,PrimeSense
Applied Research Associates,Virtual Heroes Inc.
Aqua Lung,Apeks Marine Equipment Ltd
Aquafadas,Ave!Comics
Arab Banking Corporation,International Bank of Asia Limited
Arab Organization for Industrialization,Arab British Helicopter Company
Arabian Radio Network,Hit 96.7
Arbor Investments,Fieldbrook Foods Corporation
Arcadia Group,Arcadia Group Brands Ltd
Arcadia Group,Dorothy Perkins
Arcadia Group,Evans
Arcadia Group,Topshop
Arcadia Group,Wallis
Arcadis NV,EC Harris
Arcapita Group Holdings,Arcapita Investment Management
ArcelorMittal,ArcelorMittal Ghent
ArcelorMittal,ArcelorMittal Kryvyi Rih
ArcelorMittal,SA Phenix Works
Arconic,Countrywide Legal Indemnities
Arctic Slope Regional Corporation,ASRC Aerospace Corporation
Arden Group,Gelson's Market
Ares Capital Corp.,Bernecker + Rainer Industrie-Elektronik
Areva,AREVA Solar
Areva,Franco-Belge de Fabrication du Combustible
Argonaut Games,Particle Systems Ltd.
Argosy Private Equity MTN Capital,Rita's Franchise Company LLC
Argyll Foods,Amos Hinton & Sons plc
Arison Investments,Housing & Construction Holding Company Limited
Aristocrat Leisure,Video Gaming Technologies
Arjo Wiggins,Conqueror Paper
Armadora AS,Masterbulk Pte. Ltd.
Arriva Deutschland,Osthannoversche EisenbahnenOHE
Arriva, Midland)
Art Van,Mattress World of Michigan
Artemis Investment Management,Mid Wynd International Investment Trust
Artistdirect,MediaDefender Inc.
Artistdirect,Peer Media Technologies Inc.
Artsana,Chicco
Arçelik Group,Arctic S.A.
Arçelik Group,Defy Appliances
Arçelik,Dawlance
Asahi Breweries,Asahi Soft Drinks Co.,Ltd
Asahi Group Holdings,Asahi Breweries,Ltd.
Asahi Shimbun,TV Asahi Holdings Corporation
Ascena Retail Group,Ann Inc.
Ascena Retail Group,Charming Shoppes Inc.
Ascend Learning,National Health career Association (NHA)
Ascension Health,St. Vincent's Health System
Ascension Health,St. Vincent's HealthCare
Ascension,Ascension Health
Aschehoug,Gyldendal Norsk Forlag,Kunnskapsforlaget ANS
Asda,Asda Mobile
Ashok Leyland,Hinduja Group,Ashok Leyland Defence Systems Limited
Asia Pulp & Paper,Jinhai Pulp Mill
AsiaSoft,Level Up! Games
Asian Development Bank,Central Asia Regional Economic Cooperation
Aspiro,TIDAL Music AB
Assa Abloy,Yale
Assabet Valley Bancorp,Avidia Bank
Asseco Poland S.A.,Ltd.
Assetz Plc,Assetz Capital Limited
Assicurazioni Generali,Generali Deutschland
Associated British Foods,Dorset Cereals
Associated British Foods,Primark Stores Limited
Associated Dry Goods Corporation,J.N. Adam & Co.
Associated Electrical Industries,Metropolitan-Vickers
Association of European Motorcycle Manufacturers (ACEM),Motorcycle Accidents In Depth Study (MAIDS)
Assurant Solutions,Protect Your Bubble
AstraZeneca,MedImmune LLC
Astro Malaysia Holdings Bhd.,Astro Malaysia Holdings Bhd.
Astro Overseas Ltd,Celestial Pictures Ltd
Asustek Computer Inc.,and Silicon Integrated Systems Corp.,ASint Technology Corporation
Atari,SA,Atari Interactive
Atari,SA,Atari Inc.
Ateeco Inc,Mrs. T's Pierogies
Atlante,Banca Popolare di Vicenza
Atlante,Veneto Banca
Atlantia,Aeroporti di Roma
Atlas Copco AB,Chicago Pneumatic
Atlas Copco,Dynapac Compaction Equipment AB
Atlas Group,Atlas Honda Ltd.
Atlas World Group,Global Van Lines LLC
Atlice,PT Portugal SGPS SA
Atlus,Atlus U.S.A. Inc.
Atlus,Career Soft
Atomenergoprom,ARMZ Uranium Holding Co.
Atomenergoprom,Atomenergomash
Atomenergoprom,Atomstroyexport
Atomenergoprom,Rosenergoatom
Atomstroyexport,NUKEM Technologies GmbH
Atos,BULL (S.A.) Informatique
Attijariwafa Bank,Compagnie Générale de Banque (Cogebanque)
Attune Foods,Erewhon®
Attune Foods,Uncle Sam
Auchan Group,Atac
Auchan Group,Companhia Portuguesa de Hipermercados,S.A.|
Auchan Group,Simply Market
Audi,Automobili Lamborghini S.p.A.
Audio Visual Enterprises S.A.,Ster Cinemas
Aurelius AG,Blaupunkt GmbH
Aurum Holdings,Goldsmiths
Austal,Austal USA
Austevoll Seafood,Norway Pelagic ASA
Australian Broadcasting Corporation,ABC Video
Australian Department of Defence,Defence Materiel Organisation
Australian Fast Foods Pty Limited,Red Rooster
Australian United Retailers Limited (AURL),FoodWorks
Ausurus Group Ltd,European Metal Recycling
Authentic Brands Group,Frederick's of Hollywood
Autogrill S.p.A.,HMSHost
Autolink,Cargolink AS
Autotronic Controls Corporation,MSD Ignition
Avast Software,AVG Technologies,N.V.
Avaxx Corporation,Ninetology Sdn Bhd
Avaya,Esna Technologies Inc.
Avea,Galatasaray Mobile
Avelon Formula,Wolf Racing Cars
Avenue Supermarts Ltd (ASL),D'Mart
Avex Group Holdings Inc.,Avex Taiwan Inc.
Avia Solutions Group,Baltic Aviation Academy
Avia Solutions Group,Baltic Ground Services
Aviadvigatel,Proton-PM
Aviation Industry Corporation of China,AVIC Aircraft Corporation Ltd.
Aviation Industry Corporation of China,China Aviation Industry General Aircraft
Aviation Industry Corporation of China,Continental Motors Inc.
Aviation Industry Corporation of China,which is owned by the Government of the People's Republic of China.,Cirrus Aircraft
Avid Technology,Avid Audio
Avid Technology,Sibelius Software Ltd.
Avio S.à r.l.,doBank
Avis Budget Group,Budget Truck Rental
Avis Budget Group,Zipcar
Aviva plc,Aviva Canada Inc.
Aviva plc,Norwich Union
Aviva,Aviva Group Ireland plc
Avro,Avro Canada
AvtoVAZ,JSC VAZInterService
AvtoVAZ,Lada
Axel Johnson Inc.,Kinetico Incorporated
AxelMusic A/S Lake Shore Distribution (AxelMusic.com),AxelMusic
Axiata Group Berhad,Bharti Airtel,and NTT DoCoMo,Robi Axiata Limited
Axiata Group Berhad,Dialog Axiata PLC
Axiata Group Berhad,Ncell (Pvt) Ltd
Axiata Group Berhad,Smart Axiata Company Limited
Axiata Group,PT XL Axiata Tbk
Axiata,Bharti Airtel,,NTT Docomo,Robi Axiata Limited
Axiata,M1 Limited
Ayala Corporation,Leitner-Poma of America
Azad Foundation,Sakha Consulting Wings
Aşkale Holdings,Van Çimento Sanayi
B Communications,Bezeq The Israeli Telecommunication Corp Ltd.
BAB Inc.,Big Apple Bagels
BAE Systems BAE Systems Maritime,BAE Systems Maritime  Naval Ships
BAE Systems Inc.,BAE Systems Electronic Systems
BAE Systems Maritime - Maritime Services,BAE Systems Surface Ships Support Limited
BAE Systems Plc,BAE Systems Land & Armaments Inc.
BAE Systems plc,BAE Systems Australia Limited
BAE Systems,BAE Systems Inc.
BAE Systems,BAE Systems Marine Limited
BAE Systems,BAE Systems Maritime - Submarines
BAE Systems,BAE Systems Military Air & Information
BAE Systems,Royal Ordnance Plc
BASF,Cognis
BASF,Wintershall Holding GmbH
BB&T,Grandbridge Real Estate Capital
BBAC,Back Yard Burgers Inc.
BBC Worldwide,2 entertain Limited
BBC Worldwide,Scripps Networks Interactive,UKTV
BBC,BBC Records
BBC,BBC Studioworks
BBC,BBC Worldwide Ltd.
BBDO,Sellbytel Group
BBK Electronics,OPPO Electronics Corp.
BBK Electronics,Vivo
BBMG Group,BBMG Corporation
BBS Securities Inc,Virtual Brokers
BBVA,BBVA Bancomer S.A.
BBVA,BBVA Compass Bancshares Inc.
BC Partners,Com Hem
BCAA,Evo Car share
BCE Inc.,Bell
BCE Inc.,Bell Aliant
BCE Inc.,Bell Canada
BCE Inc.,Bell MTS
BCE Inc.,Bell Media Inc.
BCE Inc.,Cablevision
BCE Inc.,Northwestel
BCE Inc.,Rogers Communications,Glentel Inc.
BCE Inc.,Rogers Communications,Inukshuk Wireless
BCE,Bell Aliant High Speed Internet
BCE,Bell Fibe TV
BCE,Fibe
BCE,NorthernTel
BCE,Télébec
BEC,BEC-TERO Entertainment Public Co. Ltd oi.
BG Group,QGC Pty Limited
BH Telecom,Moja TV
BHRT,(MP BHRT)
BIMB Holdings Berhad,Syarikat Takaful Malaysia Berhad
BKK,Statkraft,.,Fjordkraft AS
BL Publishing,Black Flame
BMO Harris Bank,Marshall & Ilsley Corporation
BMW,BMW i
BMW,ReachNow
BMW,Rolls-Royce Motor Cars Limited
BMW,Sixt,DriveNow
BNP Paribas,BNP Paribas Fortis
BNP Paribas,Bank of the West
BNP Paribas,Brauerei Ganter
BNP Paribas,Consorsbank
BNP Paribas,Hello bank!
BONNIER Euro Holding AB,TV4 Group
BP Biofuels,BP Biofuels Highlands
BP plc,Atlantic Richfield Company (ARCO)
BP,BP Canada Energy Group ULC
BP,BP Solar
BP,Pakistan Petroleum
BP,ampm
BPER Banca,Cassa di Risparmio di Saluzzo
BPER Banca,Nuova Carife
BRF,Sadia S.A.
BRIX Holdings LLC,Red Mango FC LLC.
BSA,SA Motorcycles Ltd
BSH Hausgeräte,Constructa
BSH Hausgeräte,Neff GmbH
BSH HausgeräteBSH Home Appliances,Gaggenau HausgeräteGaggenau Home Appliances
BSR Franchising Group.,Betta Home Living
BSZ Holding company,Barnaul Cartridge Plant
BT Group,BT Business Direct
BT Group,Openreach Ltd.
BT Group,Ribbit
BYD Company Limited,BYD Auto Co.,Ltd.
BYD Company Limited,BYD Electronic (International) Company Limited
Ba Yi Iron and Steel Group,Ba Yi Iron and Steel
Baba Rafi Enterprise,PT. Baba Rafi Indonesia
Babcock International Group,Appledore Shipbuilders
Babcock International,Babcock
Babcock International,Babcock Mission Critical Services
Babcock International,Bond Aviation Group
Bacardi Limited,Martini & Rossi
Bache & Co. Merchant Bankers,Bache & Co.
Backwater Technologies,Diamond Infosystems Ltd
Bagley,Wright & Milne,Bagley & Wright
Baillie Gifford & Co Limited,Baillie Gifford Shin Nippon
Baillie Gifford & Co Limited,Edinburgh Worldwide Investment Trust
Baillie Gifford & Co Limited,Monks Investment Trust
Baillie Gifford & Co Limited,Pacific Horizon Investment Trust
